TransactDesc,ExpPayee,ExpType,Location,BusinessExpense,BusType
WHOLE FOODS,recQLlOkX8wbvi7re,recON2gR100Ua4wbh,,FALSE,
THRIVE MARKET,rec8BacJx4vsUeiKU,recON2gR100Ua4wbh,,FALSE,
NO-IP,recqw7F3acTheFt4V,recxpxxEbxrd43OfN,,TRUE,recb7WQsjNKVEgkAJ
American Express,rec0Pckj45TQEJeR6
Visible (Charlie),rec1fk8ethX6OJcLL
UPS,rec2VaXRc0mIgDt4u,,,TRUE,receGzKfFqVnbjfe8
CoverSafe,rec3mv57o8VIMT9N0
Costco,rec4f4pptmUXXNFdX
Google YouTube (Richard),rec4hb45IEboYoiEX
Village Square,rec5XaHU1mc5dqUif
Stop Shop,rec6JkqyrOpxJ33la,recON2gR100Ua4wbh
No-IP,rec7KcxoPJKcr372D,,,TRUE,recb7WQsjNKVEgkAJ
Mount Kisco Automotive,rec7eZLA6FAGMgJTa
Thrive Market,rec8BacJx4vsUeiKU,recON2gR100Ua4wbh
CVS/Pharmacy,rec8FamSYCY0mSXy9
HomeGoods,rec8Uklm0ty2bdchm
Whole Foods,rec9oenVF6AtOU5kw,recON2gR100Ua4wbh
JetBlue,recAmQ1snb2e0i47G
Amica Insurance,recBPWcE3k6pN98QJ,recocXStx64TP9OlP
REI,recCPRr9Fyx7CoVnw,rec4DksytIFdbRIYq
www.rei.com,recCPRr9Fyx7CoVnw,rec4DksytIFdbRIYq
Aldi,recDankqxuL3eAzkp,recON2gR100Ua4wbh
Ring,recEhtNM3NMq7xC4H
Apple,recGwZHeB6WRXfI1d
Killington Food Court,recIfxh3kitFcij2e,recSsjrsZqPFTo2mc
Walt Disney World,recKNGNJ0EPtOkqlM
Google YouTube (Adrian),recL1D6593Cbe8L7a
XFinity,recLJ3sHLjlMeQXpK
City Carting - Waste Innovations,recNkYUmCyfl0GehB
SupplyHouse.com,recPPL9uGPdI748jY
Amazon,recQLlOkX8wbvi7re
Fullscript,recQev4MMDLB4U4dg
HomeDepot,recTo2CxeNWZW6wxw
Decicco Sons,recU90vSIyUZ5jWay,recON2gR100Ua4wbh
OpenAI,recVL3RF2ArlA2ySY
Costco WWW,recYABYMLLmpovbVi
Town of Killington,recauWuPgfNCPEsxs
LL Bean,recbm1uX58ssE3Ex2
U-Haul,reccC0ryz1Lubpivx
Staples,reccP7vbTkK2ztvrq,,,TRUE,receGzKfFqVnbjfe8
ALOHI FaxPlus,recdrDkJKqYGWkXeq
Killington Sports,recfRv2OFZThZRMfH
NYSEG,recgC3MSpOTGryH0s
British Auto Works,recgmEmTIqkbJNjGp,recF8aziEACtR16sp
Hannaford,rechPJuoIMkoQo6Xt,recON2gR100Ua4wbh
Optimum Cable,reci9y4ajo2wA2yRs
Market 32,recjvL0VqqldtoJFg,recON2gR100Ua4wbh
MM Life Premium,reckV6nuzQTnJMHqP
Mitchell Oil,reckqCXz8VhZcOuq5
NetFlix,recldlLn9PAhXZ9tK
Somers Town,recma28bDwwdEmiAP
Project Management Institute,recoJkWN06Y9VUrw8
FaxPlus,recoVe4zKsiVi9p5u,rec4DksytIFdbRIYq,,TRUE,recGeSvRwZORthG4b
VZWRLSS*APOCC VISN,recoq1rKoyBDG8ABq,reciB8034ZBDz7Aqk,,TRUE,recrNd8DJrBXerXmw
Green Moutain Power,recqSbS08ftc6C0yJ
Evernote,recqoHYEuHFuasKXS
SecureSafe,recrhrp5UGyOLBi8M
Chase,recugaFwl3I4oTw5j
Irving,recv6iktIoFoff3gR,rec2KzTslvxtouiNy,,TRUE,recZ486oPNQTfwXqo
USPS,recvHSvA7Dwmc7Lk1,,,TRUE,receGzKfFqVnbjfe8
Google Drive,recvWZbwUdA5ogVr1
Scrum Alliance,recw9Dxh2kwe2k9da
Dunkin,recwXNhkrwqdKDzlh,recSsjrsZqPFTo2mc
Rock Climb Fairfield (RCF),recxDFqFpPEwCSScp
WWW.KOHLS.COM,recxlQ9CHWLgqTacf,rec4DksytIFdbRIYq
GoDaddy,recxpxxEbxrd43OfN
Trader Joe,reczGPIb3H2bbBD1e,recON2gR100Ua4wbh
Lenovo,reczWrwSwbWLgQonP
Life Science Pharmacy,reczfgskItxW5TNkR
MTA*MNR ETIX TICKET,,,TRUE,rec4fLVaQWDEenIhU
LAZ PARKING,,,TRUE,LAZ PARKING,rec4fLVaQWDEenIhU
SQ *KILLINGTON &amp; PICO RES,recx8P22cyV5UOcyu,rect4UJQOIQSPFIg9
TJMAXX,rec1Qzx1tI88ccrbl
CANDRUG INTERNATIONAL,recpRjxXVNHNQ16JG,recyZDc5GznqyQYPf
AMAZON PRIME,recQLlOkX8wbvi7re,recnfJkwvZzbX5JjJ
WIN WASTE INNOVATIONS,recNkYUmCyfl0GehB,recULR0mG8pUYyXRb